"","STATE","Year","State Tax per pack in Dollars","Gross Cigarette Tax Revenue in Dollars","Cigarette Consumption (Pack Sales Per Capita) in Pack","Federal and State tax as a Percentage of Retail Price in Percentage","Federal and State Tax per pack in Dollars","Average Cost per pack in Dollars"
"2044","SC",2013,0.57,163002662,62,32.4,1.58,4.879
"2045","SC",2014,0.57,156356758,58.9,31.7,1.58,4.987
"2046","SC",2015,0.57,153086500,56.1,31.4,1.58,5.029
"2047","SC",2016,0.57,156101358,57.3,31.3,1.58,5.049
"2048","SC",2017,0.57,154924581,55.5,30.7,1.58,5.142
"2049","SC",2018,0.57,151957884,53.1,29.7,1.58,5.322
"2050","SC",2019,0.57,157479471,52.6,28.4,1.58,5.569
"2051","SD",1970,0.12,7360000,92.7,51.9,0.2,0.385
"2052","SD",1971,0.12,7730000,96.7,51.2,0.2,0.391
"2053","SD",1972,0.12,8280000,103,50.5,0.2,0.396
"2054","SD",1973,0.12,8438000,103.5,49.5,0.2,0.404
"2055","SD",1974,0.12,8909000,108.4,46.7,0.2,0.428
"2056","SD",1975,0.12,9283000,113.5,44.5,0.2,0.45
"2057","SD",1976,0.12,9561000,116.7,43.1,0.2,0.464
"2058","SD",1977,0.12,9515000,115.6,37.6,0.2,0.532
"2059","SD",1978,0.12,9665000,116.9,37,0.2,0.541
"2060","SD",1979,0.12,9721000,117.4,37.4,0.22,0.588
"2061","SD",1980,0.14,11053000,114.7,35.3,0.22,0.623
"2062","SD",1981,0.14,11176000,115.7,33.8,0.23,0.68
"2063","SD",1982,0.15,11615000,113,29.2,0.23,0.788
"2064","SD",1983,0.15,11381000,109.8,34.5,0.31,0.898
"2065","SD",1984,0.15,11191000,105.7,33.6,0.31,0.923
"2066","SD",1985,0.15,11167000,104.4,35.9,0.39,1.085
"2067","SD",1986,0.23,15673000,97,34.3,0.39,1.137
"2068","SD",1987,0.23,15849000,95.8,31.2,0.39,1.247
"2069","SD",1988,0.23,15261000,91.9,30,0.39,1.301
"2070","SD",1989,0.23,14527000,87.4,28,0.39,1.389
"2071","SD",1990,0.23,14679000,88.3,25.9,0.39,1.503
"2072","SD",1991,0.23,14724000,91.8,26.4,0.43,1.63
"2073","SD",1992,0.23,14943000,93,23.8,0.43,1.803
"2074","SD",1993,0.23,14685000,91.6,30.4,0.47,1.544
"2075","SD",1994,0.23,15303000,94.8,29,0.47,1.621
"2076","SD",1995,0.23,16274000,98.6,33.3,0.57,1.712
"2077","SD",1996,0.23,22456341,92.3,31.4,0.57,1.817
"2078","SD",1997,0.33,21458178,88.8,29.6,0.57,1.928
"2079","SD",1998,0.33,21321597,88.3,27.4,0.57,2.079
"2080","SD",1999,0.33,20327478,83.5,20.9,0.57,2.729
"2081","SD",2000,0.33,19251084,75.1,22,0.67,3.04
"2082","SD",2001,0.33,19452005,78.1,20.5,0.67,3.275
"2083","SD",2002,0.33,18837516,75.4,21.1,0.72,3.405
"2084","SD",2003,0.53,21669573,73.2,26.4,0.92,3.483
"2085","SD",2004,0.53,28171051,69.3,26.2,0.92,3.506
"2086","SD",2005,0.53,28065888,68.7,26,0.92,3.539
"2087","SD",2006,0.53,28462829,69.2,26.3,0.92,3.499
"2088","SD",2007,1.53,43184955,58.5,43.7,1.92,4.391
"2089","SD",2008,1.53,60271330,49.5,41.9,1.92,4.582
"2090","SD",2009,1.53,61646193,49.7,46.7,2.54,5.437
"2091","SD",2010,1.53,60417938,48.6,43.2,2.54,5.885
"2092","SD",2011,1.53,54607887,43.8,43.5,2.54,5.842
"2093","SD",2012,1.53,53980032,42.8,43.6,2.54,5.831
"2094","SD",2013,1.53,54473910,42.7,44.1,2.54,5.766
"2095","SD",2014,1.53,54732798,42.3,42.8,2.54,5.931
"2096","SD",2015,1.53,53164088,40.7,40.8,2.54,6.221
"2097","SD",2016,1.53,58833509,44.6,40.6,2.54,6.252
"2098","SD",2017,1.53,55127979,41.6,39.3,2.54,6.455
"2099","SD",2018,1.53,54892816,40.2,38.9,2.54,6.534
"2100","SD",2019,1.53,47222260,35,38,2.54,6.693
"2101","TN",1970,0.13,51529552,99.8,50.5,0.21,0.416
"2102","TN",1971,0.13,54324788,106.3,50.5,0.21,0.416
"2103","TN",1972,0.13,57838793,111.5,51.5,0.21,0.408
"2104","TN",1973,0.13,57504328,109.7,49.4,0.21,0.425
"2105","TN",1974,0.13,61589439,114.8,46.4,0.21,0.453
"2106","TN",1975,0.13,62998951,117.4,43.5,0.21,0.483
"2107","TN",1976,0.13,66254203,121.7,42.3,0.21,0.496
"2108","TN",1977,0.13,68265256,124.6,38.3,0.21,0.548
"2109","TN",1978,0.13,71135611,127.3,36.6,0.21,0.573
"2110","TN",1979,0.13,72046814,127.2,34.8,0.21,0.603
"2111","TN",1980,0.13,74254687,130.4,33,0.21,0.637
"2112","TN",1981,0.13,77075964,129.1,30.7,0.21,0.683
"2113","TN",1982,0.13,78807924,131.4,26.5,0.21,0.791
"2114","TN",1983,0.13,78010310,129,32.8,0.29,0.883
"2115","TN",1984,0.13,76741643,125.1,31.4,0.29,0.925
"2116","TN",1985,0.13,79593436,128.7,29.4,0.29,0.988
"2117","TN",1986,0.13,79745209,107.9,28,0.29,1.035
"2118","TN",1987,0.13,81357705,130.6,25.9,0.29,1.121
"2119","TN",1988,0.13,79785166,125.3,23.9,0.29,1.215
"2120","TN",1989,0.13,79845917,124.7,21.5,0.29,1.35
"2121","TN",1990,0.13,78338596,121.8,21.1,0.29,1.374
"2122","TN",1991,0.13,76943846,120.6,20.1,0.33,1.639
"2123","TN",1992,0.13,77135315,121,19.4,0.33,1.702
"2124","TN",1993,0.13,77029000,120.8,24.6,0.37,1.503
"2125","TN",1994,0.13,77049000,118.8,24.2,0.37,1.53
"2126","TN",1995,0.13,84827807,125.4,23.7,0.37,1.559
"2127","TN",1996,0.13,80884691,119.2,23,0.37,1.611
"2128","TN",1997,0.13,82056793,118.9,22.1,0.37,1.677
"2129","TN",1998,0.13,82777975,119.7,19.5,0.37,1.895
"2130","TN",1999,0.13,80688000,115.8,14.2,0.37,2.612
"2131","TN",2000,0.13,79981161,108.7,16.7,0.47,2.815
"2132","TN",2001,0.13,76010568,103.5,15.3,0.47,3.071
"2133","TN",2002,0.13,77116917,103.4,18,0.59,3.269
"2134","TN",2003,0.2,107041135,93.2,18.5,0.59,3.182
"2135","TN",2004,0.2,112734251,96.5,18.5,0.59,3.182
"2136","TN",2005,0.2,114345060,97,18.1,0.59,3.257
"2137","TN",2006,0.2,117658741,98.7,18.2,0.59,3.235
"2138","TN",2007,0.2,129671397,107.4,27.8,1.04,3.738
"2139","TN",2008,0.62,265812861,69.5,26.9,1.01,3.748
"2140","TN",2009,0.62,296801064,77,35.1,1.63,4.644
"2141","TN",2010,0.62,283488219,72.6,34.1,1.63,4.784
"2142","TN",2011,0.62,282037904,71.7,33.1,1.63,4.925
"2143","TN",2012,0.62,271048763,68.3,33.7,1.63,4.832
"2144","TN",2013,0.62,265091159,66.2,32.8,1.63,4.965
"2145","TN",2014,0.62,252266793,62.6,32.6,1.63,5.003
"2146","TN",2015,0.62,252591583,62.2,32.6,1.63,4.993
"2147","TN",2016,0.62,251898947,61.6,31.8,1.63,5.133
"2148","TN",2017,0.62,244100257,59.2,31.3,1.63,5.206
"2149","TN",2018,0.62,233013693,56,30.9,1.63,5.281
"2150","TN",2019,0.62,232877687,55.5,29.4,1.63,5.545
"2151","TX",1970,0.155,169554206,106.4,56,0.235,0.42
"2152","TX",1971,0.155,189942675,108.9,56.5,0.265,0.469
"2153","TX",1972,0.185,226503540,108.6,57.1,0.265,0.464
"2154","TX",1973,0.185,236280843,110.4,55.8,0.265,0.475
"2155","TX",1974,0.185,248277976,114.7,52.4,0.265,0.506
"2156","TX",1975,0.185,256967461,116,49.7,0.265,0.533
"2157","TX",1976,0.185,273166718,121.4,49.7,0.265,0.533
"2158","TX",1977,0.185,283908123,124.2,44.8,0.265,0.591
"2159","TX",1978,0.185,296923598,126.6,42.6,0.265,0.622
"2160","TX",1979,0.185,301669878,126.4,41.6,0.265,0.637
"2161","TX",1980,0.185,321154012,129.7,39.6,0.265,0.669
"2162","TX",1981,0.185,339554173,129,35.9,0.265,0.738
"2163","TX",1982,0.185,358491433,131.2,31.5,0.265,0.841
"2164","TX",1983,0.185,357379664,126.4,36.8,0.345,0.938
"2165","TX",1984,0.185,344699280,117.2,34.8,0.355,1.021
"2166","TX",1985,0.195,360500225,115.9,34.6,0.365,1.055
"2167","TX",1986,0.205,373506575,113.7,31.9,0.365,1.144
"2168","TX",1987,0.205,355496360,105.8,32.8,0.42,1.28
"2169","TX",1988,0.26,399060039,96.5,30.7,0.42,1.37
"2170","TX",1989,0.26,410282050,94.5,28.8,0.42,1.457
"2171","TX",1990,0.26,389745949,85.6,32.8,0.57,1.736
"2172","TX",1991,0.26,552917679,79.6,32.8,0.61,1.86
"2173","TX",1992,0.41,543222000,77.2,29.8,0.61,2.046
"2174","TX",1993,0.41,572602310,81.3,36.6,0.65,1.777
"2175","TX",1994,0.41,562276060,78.8,35.1,0.65,1.85
"2176","TX",1995,0.41,559696209,75.2,34.5,0.65,1.884
"2177","TX",1996,0.41,569079842,74.6,34.2,0.65,1.898
"2178","TX",1997,0.41,569575890,72.6,32.2,0.65,2.018
"2179","TX",1998,0.41,556503717,73.2,28.9,0.65,2.25
"2180","TX",1999,0.41,539935144,67.8,22.2,0.65,2.923
"2181","TX",2000,0.41,536877386,69.3,24.1,0.75,3.112
"2182","TX",2001,0.41,495713837,62.1,23,0.75,3.267
"2183","TX",2002,0.41,512895687,58.3,22.7,0.8,3.531
"2184","TX",2003,0.41,490718568,58.9,22.9,0.8,3.487
"2185","TX",2004,0.41,501571338,55.8,23.8,0.8,3.364
"2186","TX",2005,0.41,507341005,55.4,23.7,0.8,3.375
"2187","TX",2006,0.41,507159644,54.3,24,0.8,3.33
"2188","TX",2007,1.41,1024383107,49.3,40.4,1.8,4.455
"2189","TX",2008,1.41,1507229486,43.9,39.6,1.8,4.549
"2190","TX",2009,1.41,1211322317,42.3,43.8,2.42,5.529
"2191","TX",2010,1.41,1249918085,38.2,42.9,2.42,5.642
"2192","TX",2011,1.41,1359519880,38.7,42.2,2.42,5.731
"2193","TX",2012,1.41,1330330418,36.7,42.8,2.42,5.659
"2194","TX",2013,1.41,1329662430,36.2,42.1,2.42,5.747
"2195","TX",2014,1.41,1256724107,33.7,42,2.42,5.763
"2196","TX",2015,1.41,1270386671,33.8,40.7,2.42,5.946
"2197","TX",2016,1.41,1271800731,32.8,40,2.42,6.043
"2198","TX",2017,1.41,1253705378,31.9,38.8,2.42,6.244
"2199","TX",2018,1.41,1190923717,29.1,38.3,2.42,6.318
"2200","TX",2019,1.41,1168588119,28.8,37.3,2.42,6.482
"2201","UT",1970,0.08,5473433,65.5,43.7,0.16,0.366
"2202","UT",1971,0.08,5794213,67.7,43,0.16,0.372
"2203","UT",1972,0.08,6272275,71.3,43.8,0.16,0.365
"2204","UT",1973,0.08,6534971,72.7,42.3,0.16,0.378
"2205","UT",1974,0.08,6993604,75.6,39.5,0.16,0.405
"2206","UT",1975,0.08,7111247,75.8,36.9,0.16,0.434
"2207","UT",1976,0.08,7518081,77.9,35.8,0.16,0.447
"2208","UT",1977,0.08,7755816,78.9,32.3,0.16,0.495
"2209","UT",1978,0.08,8077185,79.6,29.8,0.16,0.537
"2210","UT",1979,0.08,8270288,79.1,31.5,0.18,0.572
"2211","UT",1980,0.1,10380880,74.8,28.7,0.18,0.627
"2212","UT",1981,0.1,11332870,77.6,26.4,0.18,0.681
"2213","UT",1982,0.1,11175540,73.6,24.2,0.2,0.82
"2214","UT",1983,0.12,12863400,69,29.4,0.28,0.953
"2215","UT",1984,0.12,13071387,66.3,26.8,0.28,1.046
"2216","UT",1985,0.12,13412317,66.5,27.1,0.28,1.035
"2217","UT",1986,0.12,12919309,64.4,25.8,0.28,1.086
"2218","UT",1987,0.23,14969083,67.7,31.7,0.39,1.229
"2219","UT",1988,0.23,21656003,55,28.8,0.39,1.356
"2220","UT",1989,0.23,22551304,57,25.7,0.39,1.519
"2221","UT",1990,0.23,21106378,53.4,23.3,0.39,1.671
"2222","UT",1991,0.23,21395613,53.5,28.1,0.465,1.701
"2223","UT",1992,0.23,24805000,55,25.8,0.465,1.801
"2224","UT",1993,0.265,25898218,56.2,31.5,0.505,1.604
"2225","UT",1994,0.265,26167144,55.8,29.9,0.505,1.688
"2226","UT",1995,0.265,25812927,52,28.9,0.505,1.749
"2227","UT",1996,0.265,27788866,54,27.1,0.505,1.862
"2228","UT",1997,0.265,32657125,57,33.9,0.755,2.227
"2229","UT",1998,0.265,43619557,42.3,31,0.755,2.437
"2230","UT",1999,0.515,47440834,43.9,24.1,0.755,3.129
"2231","UT",2000,0.515,46235015,40.7,25.8,0.855,3.312
"2232","UT",2001,0.515,44467980,38.7,25.5,0.855,3.358
"2233","UT",2002,0.695,47442128,40.1,28.5,1.085,3.812
"2234","UT",2003,0.695,57529796,36.5,29.3,1.085,3.701
"2235","UT",2004,0.695,55835597,34.2,28.9,1.085,3.76
"2236","UT",2005,0.695,56598687,33.6,28.8,1.085,3.772
"2237","UT",2006,0.695,59292150,34.5,29.2,1.085,3.722
"2238","UT",2007,0.695,58224620,32.9,27.9,1.085,3.893
"2239","UT",2008,0.695,57540080,31.3,26.9,1.085,4.029
"2240","UT",2009,0.695,52419000,27.6,36.5,1.705,4.672
"2241","UT",2010,0.695,54495284,26.7,46,2.71,5.891
"2242","UT",2011,1.7,104570910,22.3,45.2,2.71,5.999
"2243","UT",2012,1.7,110249352,23,43.4,2.71,6.24
"2244","UT",2013,1.7,104045712,21.4,43,2.71,6.296
"2245","UT",2014,1.7,96248832,19.5,42.7,2.71,6.349
"2246","UT",2015,1.7,99867180,20,42.6,2.71,6.366
"2247","UT",2016,1.7,94338780,18.5,41.7,2.71,6.504
"2248","UT",2017,1.7,95612556,18.4,39.9,2.71,6.791
"2249","UT",2018,1.7,90276188,17.1,40,2.71,6.777
"2250","UT",2019,1.7,85293589,15.9,38.9,2.71,6.968
"2251","VA",1970,0.025,14508000,124.3,34.8,0.105,0.302
"2252","VA",1971,0.025,14934000,128.4,35.1,0.105,0.299
"2253","VA",1972,0.025,16147000,137,34.9,0.105,0.301
"2254","VA",1973,0.025,17043000,143.1,33.6,0.105,0.313
"2255","VA",1974,0.025,17997000,149.6,31.3,0.105,0.336
"2256","VA",1975,0.025,18736000,152.7,27.7,0.105,0.379
"2257","VA",1976,0.025,19630000,158.1,27.3,0.105,0.384
"2258","VA",1977,0.025,19842000,157.7,24.5,0.105,0.428
"2259","VA",1978,0.025,20017000,155.9,22.9,0.105,0.458
"2260","VA",1979,0.025,19535000,151.8,21.7,0.105,0.485
"2261","VA",1980,0.025,19350000,148.9,20.3,0.105,0.518
"2262","VA",1981,0.025,20035000,149.9,18.6,0.105,0.564
"2263","VA",1982,0.025,20004000,147.4,15.3,0.105,0.688
"2264","VA",1983,0.025,19613000,144.7,24.3,0.185,0.76
"2265","VA",1984,0.025,19099000,136.8,22.1,0.185,0.836
"2266","VA",1985,0.025,19149000,134.6,20.3,0.185,0.913
"2267","VA",1986,0.025,19370000,135.8,19.6,0.185,0.946
"2268","VA",1987,0.025,19232000,133,18.1,0.185,1.021
"2269","VA",1988,0.025,19242000,129.5,16.9,0.185,1.094
"2270","VA",1989,0.025,18516000,122.5,14.3,0.185,1.286
"2271","VA",1990,0.025,17979000,118.9,13.6,0.185,1.365
"2272","VA",1991,0.025,17085000,109.1,14.2,0.225,1.579
"2273","VA",1992,0.025,16947000,108.2,13.6,0.225,1.657
"2274","VA",1993,0.025,16504000,105.4,16.9,0.265,1.565
"2275","VA",1994,0.025,16707000,106.2,16.8,0.265,1.575
"2276","VA",1995,0.025,17392000,106.7,16.6,0.265,1.596
"2277","VA",1996,0.025,17432000,104.6,16.6,0.265,1.596
"2278","VA",1997,0.025,18031000,108,16.3,0.265,1.622
"2279","VA",1998,0.025,17616000,105.6,14.4,0.265,1.837
"2280","VA",1999,0.025,17195000,102.1,10.5,0.265,2.528
"2281","VA",2000,0.025,16918000,96.7,13.3,0.365,2.754
"2282","VA",2001,0.025,16680000,94.1,12.4,0.365,2.945
"2283","VA",2002,0.025,16554000,92.1,13.5,0.415,3.076
"2284","VA",2003,0.025,17157000,95.5,12.9,0.415,3.218
"2285","VA",2004,0.025,18655000,97.4,18,0.59,3.282
"2286","VA",2005,0.3,114212300,82.5,19.6,0.69,3.529
"2287","VA",2006,0.3,179923515,78.9,19.7,0.69,3.504
"2288","VA",2007,0.3,174548100,76.1,19.2,0.69,3.598
"2289","VA",2008,0.3,170273300,73.6,18.9,0.69,3.657
"2290","VA",2009,0.3,170247840,73.4,29,1.31,4.514
"2291","VA",2010,0.3,162996600,68.9,28.4,1.31,4.616
"2292","VA",2011,0.3,160997100,67.1,28.1,1.31,4.658
"2293","VA",2012,0.3,175753500,72.4,28,1.31,4.68
"2294","VA",2013,0.3,171078000,69.4,26.5,1.31,4.939
"2295","VA",2014,0.3,166131900,67,26.7,1.31,4.911
"2296","VA",2015,0.3,165112900,66.1,26,1.31,5.034
"2297","VA",2016,0.3,159945000,63.6,25.7,1.31,5.102
"2298","VA",2017,0.3,153421427,60.8,25.1,1.31,5.221
"2299","VA",2018,0.3,141561600,55.7,24.1,1.31,5.438
"2300","VA",2019,0.3,131839584,51.6,22.9,1.31,5.732
"2301","VT",1970,0.12,6458913,122.6,50.6,0.2,0.395
"2302","VT",1971,0.12,6674580,124.4,50,0.2,0.4
"2303","VT",1972,0.12,7586268,138,50.3,0.2,0.398
"2304","VT",1973,0.12,8136202,146.8,48.4,0.2,0.413
"2305","VT",1974,0.12,8454155,151.8,47.9,0.2,0.418
"2306","VT",1975,0.12,8776260,155.5,42.5,0.2,0.471
"2307","VT",1976,0.12,9671592,171.1,42.6,0.2,0.47
"2308","VT",1977,0.12,9674168,169.4,38.1,0.2,0.525
"2309","VT",1978,0.12,9412514,162.4,36.5,0.2,0.548
"2310","VT",1979,0.12,9404220,160.9,34,0.2,0.589
"2311","VT",1980,0.12,9635046,161.6,32.8,0.2,0.61
"2312","VT",1981,0.12,10047083,163.8,29.9,0.2,0.668
"2313","VT",1982,0.12,10047885,162.3,26,0.2,0.77
"2314","VT",1983,0.12,9521081,153.8,36.4,0.33,0.906
"2315","VT",1984,0.17,12567950,144.3,34.6,0.33,0.955
"2316","VT",1985,0.17,12992903,144.5,31.5,0.33,1.049
"2317","VT",1986,0.17,11932304,131.2,29,0.33,1.138
"2318","VT",1987,0.17,11726086,128.3,26.6,0.33,1.237
"2319","VT",1988,0.17,12040932,128.7,25.4,0.33,1.297
"2320","VT",1989,0.17,11431152,120.9,23.1,0.33,1.437
"2321","VT",1990,0.17,11769382,124.3,22,0.33,1.501
"2322","VT",1991,0.17,11678577,120.9,22.6,0.38,1.68
"2323","VT",1992,0.17,13307556,126.5,23,0.4,1.738
"2324","VT",1993,0.19,13274742,117.2,27.6,0.44,1.596
"2325","VT",1994,0.2,13764112,120.3,27.5,0.44,1.601
"2326","VT",1995,0.2,14262091,123.2,34.6,0.68,1.964
"2327","VT",1996,0.2,26267084,102.5,33.7,0.68,2.019
"2328","VT",1997,0.44,25804177,97.7,31.8,0.68,2.139
"2329","VT",1998,0.44,25129827,97,29.1,0.68,2.337
"2330","VT",1999,0.44,24376761,94.1,22.6,0.68,3.011
"2331","VT",2000,0.44,24144395,88.9,24.1,0.78,3.232
"2332","VT",2001,0.44,25256106,94.3,22,0.78,3.549
"2333","VT",2002,0.44,25084291,93,33.8,1.32,3.903
"2334","VT",2003,0.93,44390735,77.9,36.3,1.58,4.352
"2335","VT",2004,1.19,50984274,69.2,35.6,1.58,4.435
"2336","VT",2005,1.19,47271084,63.9,35.3,1.58,4.478
"2337","VT",2006,1.19,47398431,63.9,44.9,2.18,4.851
"2338","VT",2007,1.79,60814883,54.5,42.8,2.18,5.095
"2339","VT",2008,1.79,57330405,51.6,42.7,2.38,5.579
"2340","VT",2009,1.99,61819885,48.9,48.8,3.25,6.657
"2341","VT",2010,2.24,66469471,47.7,47.5,3.25,6.845
"2342","VT",2011,2.24,67896109,48.7,48.9,3.63,7.429
"2343","VT",2012,2.62,73270456,45.7,48.4,3.63,7.494
"2344","VT",2013,2.62,67417623,42.1,47.3,3.63,7.672
"2345","VT",2014,2.62,64804902,40.4,47.2,3.63,7.689
"2346","VT",2015,2.75,69580500,40.4,50.4,4.09,8.12
"2347","VT",2016,3.08,72105664,37.4,50.9,4.09,8.034
"2348","VT",2017,3.08,69405666,36.3,48.6,4.09,8.414
"2349","VT",2018,3.08,63033678,32.8,47.7,4.09,8.582
"2350","VT",2019,3.08,60801534,31.5,46.4,4.09,8.823
"2351","WA",1970,0.11,36210467,96.7,47.1,0.19,0.403
"2352","WA",1971,0.16,37667627,97,52.1,0.24,0.461
"2353","WA",1972,0.16,48833040,88.5,52.3,0.24,0.459
"2354","WA",1973,0.16,50113233,91,51.2,0.24,0.469
"2355","WA",1974,0.16,54106070,98.6,49,0.24,0.49
"2356","WA",1975,0.16,55315200,99.5,45.3,0.24,0.53
"2357","WA",1976,0.16,56868365,100.3,44.7,0.24,0.537
"2358","WA",1977,0.16,57489163,99.3,41,0.24,0.586
"2359","WA",1978,0.16,59298458,101.3,39,0.24,0.616
"2360","WA",1979,0.16,61252398,101.4,37.6,0.24,0.638
"2361","WA",1980,0.16,63679946,101.4,36,0.24,0.666
"2362","WA",1981,0.16,74445441,112.7,34.9,0.28,0.803
"2363","WA",1982,0.208,90552150,106.6,38.3,0.31,0.931
"2364","WA",1983,0.23,99088106,102.4,36.8,0.39,1.059
"2365","WA",1984,0.23,95849952,96.2,84.1,0.39,1.144
"2366","WA",1985,0.23,97277410,96.5,31,0.39,1.257
"2367","WA",1986,0.31,103773418,94.2,35,0.47,1.342
"2368","WA",1987,0.31,125013254,91.3,33.8,0.47,1.414
"2369","WA",1988,0.31,124501713,88.2,31.2,0.47,1.506
"2370","WA",1989,0.34,124800921,86.1,29.9,0.5,1.675
"2371","WA",1990,0.34,131525085,83.4,28.2,0.5,1.774
"2372","WA",1991,0.34,132644369,78.7,27.1,0.54,1.992
"2373","WA",1992,0.34,136586160,81.1,26.7,0.54,2.023
"2374","WA",1993,0.34,133869288,79.4,35.5,0.78,2.198
"2375","WA",1994,0.34,196442982,72.6,35.7,0.805,2.258
"2376","WA",1995,0.565,201140000,67.4,42.7,1.055,2.468
"2377","WA",1996,0.565,257244781,58.1,40.2,1.065,2.651
"2378","WA",1997,0.815,257054985,55.6,39.1,1.065,2.726
"2379","WA",1998,0.825,259084364,56.4,37.1,1.065,2.867
"2380","WA",1999,0.825,253428006,55.1,29.6,1.065,3.598
"2381","WA",2000,0.825,254769877,52.8,30.5,1.165,3.816
"2382","WA",2001,0.825,237887088,50.2,29.5,1.165,3.953
"2383","WA",2002,1.425,307700759,45,38,1.815,4.773
"2384","WA",2003,1.425,337777964,40.1,38.9,1.815,4.661
"2385","WA",2004,1.425,327543000,37.7,38.4,1.815,4.728
"2386","WA",2005,1.425,329823662,37.2,45.7,2.415,5.284
"2387","WA",2006,2.025,425194827,33.7,44.7,2.415,5.404
"2388","WA",2007,2.025,418813578,32.4,43.8,2.415,5.512
"2389","WA",2008,2.025,421138453,31.9,42.5,2.415,5.685
"2390","WA",2009,2.025,400186980,30.1,46.2,3.035,6.568
"2391","WA",2010,3.025,389057619,25.6,53,4.035,7.613
"2392","WA",2011,3.025,433534241,21.7,52.8,4.035,7.636
"2393","WA",2012,3.025,425647356,20.3,52.5,4.035,7.693
"2394","WA",2013,3.025,407722946,19.5,52.1,4.035,7.745
"2395","WA",2014,3.025,393063237,18.6,51.6,4.035,7.815
"2396","WA",2015,3.025,402360090,18.8,51.4,4.035,7.852
"2397","WA",2016,3.025,390718680,18,50.5,4.035,7.986
"2398","WA",2017,3.025,375686850,17,49.3,4.035,8.179
"2399","WA",2018,3.025,357444614,16.1,48.5,4.035,8.316
"2400","WA",2019,3.025,345688015,15,47.1,4.035,8.569
"2401","WI",1970,0.14,59274000,106.4,54.7,0.22,0.402
"2402","WI",1971,0.14,65437000,105.4,54.6,0.22,0.403
"2403","WI",1972,0.16,73981000,108.8,56.3,0.24,0.426
"2404","WI",1973,0.16,79207000,109.5,54.7,0.24,0.439
"2405","WI",1974,0.16,81904000,111.8,51.5,0.24,0.466
"2406","WI",1975,0.16,82735000,113.5,46.8,0.24,0.513
"2407","WI",1976,0.16,85040000,115.4,46.1,0.24,0.521
"2408","WI",1977,0.16,86415000,117.2,42,0.24,0.571
"2409","WI",1978,0.16,86984000,116.7,40.9,0.24,0.587
"2410","WI",1979,0.16,87984000,117.1,39.2,0.24,0.612
"2411","WI",1980,0.16,89273000,117.6,37,0.24,0.649
"2412","WI",1981,0.16,90783000,119.9,37.3,0.28,0.75
"2413","WI",1982,0.25,110331468,115.6,35.9,0.33,0.92
"2414","WI",1983,0.25,127739461,106.3,40.7,0.41,1.008
"2415","WI",1984,0.25,126570755,105.6,38.4,0.41,1.068
"2416","WI",1985,0.25,128653014,107,37,0.41,1.108
"2417","WI",1986,0.25,126913372,105.4,35.3,0.41,1.163
"2418","WI",1987,0.25,128916821,106,35.7,0.46,1.286
"2419","WI",1988,0.3,147667224,102.6,33.3,0.46,1.383
"2420","WI",1989,0.3,146000027,100.3,30.4,0.46,1.511
"2421","WI",1990,0.3,140767838,94.1,29,0.46,1.586
"2422","WI",1991,0.3,140746376,95.5,28.3,0.5,1.765
"2423","WI",1992,0.3,149382335,96.2,29.7,0.58,1.955
"2424","WI",1993,0.38,170281849,91.2,34.7,0.62,1.786
"2425","WI",1994,0.38,161345335,91.8,33,0.62,1.88
"2426","WI",1995,0.38,180497908,93.5,33.9,0.68,2.005
"2427","WI",1996,0.38,202005224,92.1,33.9,0.68,2.007
"2428","WI",1997,0.44,208741720,91.9,39.4,0.83,2.108
"2429","WI",1998,0.44,251988613,88.7,34.1,0.83,2.435
"2430","WI",1999,0.59,261608153,84.4,26.5,0.83,3.128
"2431","WI",2000,0.59,251615848,80.1,28.1,0.93,3.304
"2432","WI",2001,0.59,247471780,78.2,28.9,1.11,3.846
"2433","WI",2002,0.77,293464555,75.3,29.4,1.16,3.951
"2434","WI",2003,0.77,298473027,71,30.4,1.16,3.813
"2435","WI",2004,0.77,296060429,69.9,30.8,1.16,3.761
"2436","WI",2005,0.77,299086407,70.1,30.7,1.16,3.783
"2437","WI",2006,0.77,306392438,71.3,30,1.16,3.868
"2438","WI",2007,0.77,300944734,69.7,28.3,1.16,4.093
"2439","WI",2008,1.77,460367717,66.7,43,2.16,5.027
"2440","WI",2009,1.77,555223007,55.3,51,3.53,6.921
"2441","WI",2010,2.52,648822851,48.2,50.3,3.53,7.021
"2442","WI",2011,2.52,609094792,42.5,49.5,3.53,7.125
"2443","WI",2012,2.52,591894863,41.2,48.8,3.53,7.24
"2444","WI",2013,2.52,573163403,39.8,47.6,3.53,7.421
"2445","WI",2014,2.52,576773290,39.9,46.9,3.53,7.53
"2446","WI",2015,2.52,573562112,39.5,47.4,3.53,7.447
"2447","WI",2016,2.52,577453681,39.7,47,3.53,7.51
"2448","WI",2017,2.52,568176307,39,46.8,3.53,7.544
"2449","WI",2018,2.52,543000892,37.2,46.2,3.53,7.645
"2450","WI",2019,2.52,518420169,35.4,44.5,3.53,7.93
"2451","WV",1970,0.07,14580000,114.5,48.1,0.2,0.416
"2452","WV",1971,0.12,23472000,111.5,48.4,0.2,0.413
"2453","WV",1972,0.12,24717000,117.5,50.1,0.2,0.399
"2454","WV",1973,0.12,24924000,116.6,47.6,0.2,0.42
"2455","WV",1974,0.12,25830000,119.9,44.3,0.2,0.452
